environment,model,batch_size,flops_per_iter,time_ms,achieved_tflops_per_sec,peak_tflops_per_sec,efficiency_percent
CPU,resnet18,64,349260644352,6208.09,0.056,1.5,3.75
RTX 4080,resnet18,128,698521288704,125.91,5.548,48.7,11.39
RTX 4080,resnet50,32,394705207296,95.3,4.142,48.7,8.5
RTX 4080,resnet50,64,789410414592,188.54,4.187,48.7,8.6
RTX 4080,resnet50,128,1578820829184,5328.08,0.296,48.7,0.61
T4 GPU,resnet18,128,698521288704,238.2,2.932,8.1,36.2
T4 GPU,resnet50,32,394705207296,313.89,1.257,8.1,15.52
T4 GPU,resnet50,64,789410414592,604.78,1.305,8.1,16.11
T4 GPU,resnet50,128,1578820829184,1208.49,1.306,8.1,16.13
