env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp,environment,env_code,source_file
envA,cuda,mobilenet_v2,128,52,193.84,660.34,1763160034.253889,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,53,194.17,659.22,1763160034.44825,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,54,193.09,662.9,1763160034.6415591,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,55,193.01,663.19,1763160034.8351977,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,56,193.37,661.96,1763160035.0286837,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,57,194.27,658.88,1763160035.2230735,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,58,193.12,662.8,1763160035.416312,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,59,193.73,660.7,1763160035.610155,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,60,192.96,663.37,1763160035.8032246,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,61,84.84,1508.72,1763160035.9971924,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,62,193.44,661.72,1763160036.1907456,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,63,207.9,615.67,1763160036.398761,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,resnet18,128,0,133.5,958.82,1763159421.395764,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,1,53.51,2391.92,1763159421.532412,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,2,133.6,958.1,1763159421.6662436,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,3,134.24,953.53,1763159421.800721,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,4,132.82,963.68,1763159421.9338484,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,5,133.89,956.0,1763159422.0680158,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,6,132.17,968.48,1763159422.2004323,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,7,133.25,960.62,1763159422.3339963,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,8,130.39,981.69,1763159422.4647274,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,9,131.85,970.83,1763159422.5968328,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,10,132.21,968.16,1763159422.729314,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,11,53.25,2403.75,1763159422.864352,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,12,131.35,974.5,1763159422.9960086,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,13,130.98,977.28,1763159423.1272914,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,14,131.51,973.32,1763159423.2590847,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,15,130.61,980.03,1763159423.390052,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,16,129.88,985.51,1763159423.520244,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,17,130.77,978.83,1763159423.6513083,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,18,130.65,979.71,1763159423.782273,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,19,130.31,982.29,1763159423.9128668,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,20,131.88,970.6,1763159424.0450964,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,21,55.21,2318.27,1763159424.189243,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,22,133.56,958.35,1763159424.32307,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,23,131.4,974.1,1763159424.4547763,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,24,142.24,899.9,1763159424.5972912,RTX 4080,A,resnet18_b128.csv
envA,cuda,resnet18,128,25,142.09,900.81,1763159424.739642,RTX 4080,A,resnet18_b128.csv
