env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet18,128,0,133.50,958.82,1763159421.3957639
envA,cuda,resnet18,128,1,53.51,2391.92,1763159421.532412
envA,cuda,resnet18,128,2,133.60,958.10,1763159421.6662436
envA,cuda,resnet18,128,3,134.24,953.53,1763159421.800721
envA,cuda,resnet18,128,4,132.82,963.68,1763159421.9338484
envA,cuda,resnet18,128,5,133.89,956.00,1763159422.0680158
envA,cuda,resnet18,128,6,132.17,968.48,1763159422.2004325
envA,cuda,resnet18,128,7,133.25,960.62,1763159422.3339963
envA,cuda,resnet18,128,8,130.39,981.69,1763159422.4647274
envA,cuda,resnet18,128,9,131.85,970.83,1763159422.5968328
envA,cuda,resnet18,128,10,132.21,968.16,1763159422.7293139
envA,cuda,resnet18,128,11,53.25,2403.75,1763159422.864352
envA,cuda,resnet18,128,12,131.35,974.50,1763159422.9960086
envA,cuda,resnet18,128,13,130.98,977.28,1763159423.1272914
envA,cuda,resnet18,128,14,131.51,973.32,1763159423.2590847
envA,cuda,resnet18,128,15,130.61,980.03,1763159423.390052
envA,cuda,resnet18,128,16,129.88,985.51,1763159423.5202441
envA,cuda,resnet18,128,17,130.77,978.83,1763159423.6513083
envA,cuda,resnet18,128,18,130.65,979.71,1763159423.782273
envA,cuda,resnet18,128,19,130.31,982.29,1763159423.9128668
envA,cuda,resnet18,128,20,131.88,970.60,1763159424.0450964
envA,cuda,resnet18,128,21,55.21,2318.27,1763159424.189243
envA,cuda,resnet18,128,22,133.56,958.35,1763159424.32307
envA,cuda,resnet18,128,23,131.40,974.10,1763159424.4547765
envA,cuda,resnet18,128,24,142.24,899.90,1763159424.5972912
envA,cuda,resnet18,128,25,142.09,900.81,1763159424.739642
envA,cuda,resnet18,128,26,142.98,895.26,1763159424.882886
envA,cuda,resnet18,128,27,144.65,884.89,1763159425.0278037
envA,cuda,resnet18,128,28,144.12,888.13,1763159425.1722095
envA,cuda,resnet18,128,29,137.95,927.88,1763159425.3105626
envA,cuda,resnet18,128,30,131.74,971.63,1763159425.4425814
envA,cuda,resnet18,128,31,53.75,2381.46,1763159425.57759
envA,cuda,resnet18,128,32,130.36,981.93,1763159425.7082982
envA,cuda,resnet18,128,33,131.37,974.32,1763159425.8399315
envA,cuda,resnet18,128,34,130.99,977.15,1763159425.9712145
envA,cuda,resnet18,128,35,131.15,976.01,1763159426.1025965
envA,cuda,resnet18,128,36,130.99,977.18,1763159426.233911
envA,cuda,resnet18,128,37,132.38,966.94,1763159426.3666193
envA,cuda,resnet18,128,38,132.37,966.96,1763159426.4992778
envA,cuda,resnet18,128,39,137.56,930.47,1763159426.637106
envA,cuda,resnet18,128,40,141.09,907.21,1763159426.7784846
envA,cuda,resnet18,128,41,54.31,2356.66,1763159426.9206133
envA,cuda,resnet18,128,42,135.45,945.02,1763159427.056389
envA,cuda,resnet18,128,43,142.65,897.27,1763159427.1993234
envA,cuda,resnet18,128,44,131.62,972.48,1763159427.3314126
envA,cuda,resnet18,128,45,131.10,976.36,1763159427.4626868
envA,cuda,resnet18,128,46,131.13,976.10,1763159427.5940886
envA,cuda,resnet18,128,47,139.08,920.33,1763159427.73357
envA,cuda,resnet18,128,48,143.40,892.60,1763159427.8773115
envA,cuda,resnet18,128,49,141.57,904.14,1763159428.0192242
envA,cuda,resnet18,128,50,143.49,892.06,1763159428.1631057
envA,cuda,resnet18,128,51,53.76,2381.05,1763159428.3048918
envA,cuda,resnet18,128,52,142.88,895.89,1763159428.4480703
envA,cuda,resnet18,128,53,137.26,932.55,1763159428.5856807
envA,cuda,resnet18,128,54,135.97,941.35,1763159428.7219992
envA,cuda,resnet18,128,55,132.69,964.63,1763159428.855325
envA,cuda,resnet18,128,56,131.99,969.79,1763159428.987463
envA,cuda,resnet18,128,57,130.46,981.12,1763159429.1180925
envA,cuda,resnet18,128,58,138.08,926.97,1763159429.256334
envA,cuda,resnet18,128,59,133.89,955.98,1763159429.3903832
envA,cuda,resnet18,128,60,131.16,975.89,1763159429.5216827
envA,cuda,resnet18,128,61,53.13,2409.02,1763159429.6567738
envA,cuda,resnet18,128,62,130.65,979.74,1763159429.7875538
envA,cuda,resnet18,128,63,141.85,902.34,1763159429.9295425
