env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet50,32,0,105.64,302.92,1763159536.507706
envA,cuda,resnet50,32,1,45.92,696.80,1763159536.6156776
envA,cuda,resnet50,32,2,99.77,320.75,1763159536.7157173
envA,cuda,resnet50,32,3,96.55,331.44,1763159536.8124855
envA,cuda,resnet50,32,4,97.50,328.20,1763159536.9102366
envA,cuda,resnet50,32,5,96.47,331.70,1763159537.0069444
envA,cuda,resnet50,32,6,99.40,321.95,1763159537.1065717
envA,cuda,resnet50,32,7,103.61,308.84,1763159537.211721
envA,cuda,resnet50,32,8,105.60,303.03,1763159537.3175435
envA,cuda,resnet50,32,9,106.79,299.65,1763159537.4245734
envA,cuda,resnet50,32,10,105.61,302.99,1763159537.530425
envA,cuda,resnet50,32,11,45.31,706.22,1763159537.6359422
envA,cuda,resnet50,32,12,104.79,305.37,1763159537.7410078
envA,cuda,resnet50,32,13,97.22,329.15,1763159537.8385293
envA,cuda,resnet50,32,14,93.57,341.99,1763159537.9326425
envA,cuda,resnet50,32,15,98.67,324.32,1763159538.0315511
envA,cuda,resnet50,32,16,95.76,334.15,1763159538.1276083
envA,cuda,resnet50,32,17,103.13,310.29,1763159538.2310688
envA,cuda,resnet50,32,18,108.04,296.18,1763159538.3392758
envA,cuda,resnet50,32,19,107.26,298.33,1763159538.4469728
envA,cuda,resnet50,32,20,101.22,316.14,1763159538.5483475
envA,cuda,resnet50,32,21,42.97,744.68,1763159538.652399
envA,cuda,resnet50,32,22,104.34,306.68,1763159538.7568924
envA,cuda,resnet50,32,23,99.78,320.71,1763159538.8569143
envA,cuda,resnet50,32,24,92.38,346.40,1763159538.9497147
envA,cuda,resnet50,32,25,97.02,329.83,1763159539.0468857
envA,cuda,resnet50,32,26,97.47,328.32,1763159539.1445637
envA,cuda,resnet50,32,27,102.56,312.02,1763159539.247361
envA,cuda,resnet50,32,28,103.57,308.96,1763159539.3512192
envA,cuda,resnet50,32,29,104.63,305.83,1763159539.4560883
envA,cuda,resnet50,32,30,106.86,299.46,1763159539.5631375
envA,cuda,resnet50,32,31,43.11,742.27,1763159539.6679585
envA,cuda,resnet50,32,32,100.26,319.17,1763159539.7684147
envA,cuda,resnet50,32,33,96.97,329.98,1763159539.8655899
envA,cuda,resnet50,32,34,96.02,333.26,1763159539.961798
envA,cuda,resnet50,32,35,96.77,330.67,1763159540.05885
envA,cuda,resnet50,32,36,97.00,329.90,1763159540.1559885
envA,cuda,resnet50,32,37,105.02,304.72,1763159540.2612193
envA,cuda,resnet50,32,38,105.95,302.03,1763159540.36751
envA,cuda,resnet50,32,39,103.02,310.61,1763159540.470801
envA,cuda,resnet50,32,40,108.29,295.50,1763159540.5793717
envA,cuda,resnet50,32,41,43.00,744.23,1763159540.6843593
envA,cuda,resnet50,32,42,101.21,316.16,1763159540.7857578
envA,cuda,resnet50,32,43,96.67,331.03,1763159540.8826056
envA,cuda,resnet50,32,44,96.19,332.68,1763159540.979025
envA,cuda,resnet50,32,45,96.70,330.91,1763159541.0758965
envA,cuda,resnet50,32,46,97.32,328.83,1763159541.1734166
envA,cuda,resnet50,32,47,104.31,306.78,1763159541.278034
envA,cuda,resnet50,32,48,104.24,307.00,1763159541.382429
envA,cuda,resnet50,32,49,105.65,302.89,1763159541.488527
envA,cuda,resnet50,32,50,106.57,300.29,1763159541.595306
envA,cuda,resnet50,32,51,43.63,733.39,1763159541.7013056
envA,cuda,resnet50,32,52,102.66,311.71,1763159541.8041885
envA,cuda,resnet50,32,53,99.25,322.42,1763159541.9036355
envA,cuda,resnet50,32,54,94.16,339.85,1763159541.9979799
envA,cuda,resnet50,32,55,96.64,331.11,1763159542.0948224
envA,cuda,resnet50,32,56,98.98,323.29,1763159542.194052
envA,cuda,resnet50,32,57,104.93,304.96,1763159542.2993672
