env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet50,64,0,199.29,321.14,1763159639.9817827
envA,cuda,resnet50,64,1,81.29,787.34,1763159640.1866202
envA,cuda,resnet50,64,2,199.58,320.67,1763159640.3864317
envA,cuda,resnet50,64,3,200.61,319.03,1763159640.5872679
envA,cuda,resnet50,64,4,200.69,318.91,1763159640.788151
envA,cuda,resnet50,64,5,199.92,320.13,1763159640.988304
envA,cuda,resnet50,64,6,200.23,319.62,1763159641.1887379
envA,cuda,resnet50,64,7,200.21,319.66,1763159641.3891783
envA,cuda,resnet50,64,8,199.73,320.44,1763159641.5892084
envA,cuda,resnet50,64,9,200.66,318.95,1763159641.7900715
envA,cuda,resnet50,64,10,200.24,319.62,1763159641.9905512
envA,cuda,resnet50,64,11,80.57,794.35,1763159642.194615
envA,cuda,resnet50,64,12,200.58,319.07,1763159642.3954566
envA,cuda,resnet50,64,13,200.50,319.20,1763159642.5960927
envA,cuda,resnet50,64,14,200.62,319.02,1763159642.796903
envA,cuda,resnet50,64,15,199.94,320.10,1763159642.9970236
envA,cuda,resnet50,64,16,200.35,319.43,1763159643.1975877
envA,cuda,resnet50,64,17,199.96,320.06,1763159643.3977613
envA,cuda,resnet50,64,18,200.06,319.90,1763159643.5980325
envA,cuda,resnet50,64,19,200.87,318.62,1763159643.7991047
envA,cuda,resnet50,64,20,199.71,320.46,1763159643.999035
envA,cuda,resnet50,64,21,80.42,795.79,1763159644.2029524
envA,cuda,resnet50,64,22,200.11,319.83,1763159644.4032795
envA,cuda,resnet50,64,23,203.42,314.61,1763159644.6068506
envA,cuda,resnet50,64,24,198.18,322.93,1763159644.805252
envA,cuda,resnet50,64,25,201.50,317.61,1763159645.0069966
envA,cuda,resnet50,64,26,199.58,320.67,1763159645.2069266
envA,cuda,resnet50,64,27,201.81,317.13,1763159645.40894
envA,cuda,resnet50,64,28,200.36,319.42,1763159645.6095226
envA,cuda,resnet50,64,29,200.75,318.81,1763159645.8104203
envA,cuda,resnet50,64,30,200.88,318.60,1763159646.01152
envA,cuda,resnet50,64,31,81.72,783.18,1763159646.216228
envA,cuda,resnet50,64,32,200.32,319.49,1763159646.4167602
envA,cuda,resnet50,64,33,201.05,318.32,1763159646.6180205
envA,cuda,resnet50,64,34,200.09,319.85,1763159646.818322
