env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet50,64,0,621.59,102.96,1763167676.0508697
envA,cuda,resnet50,64,1,218.49,292.92,1763167676.67767
envA,cuda,resnet50,64,2,612.88,104.42,1763167677.2908275
envA,cuda,resnet50,64,3,614.43,104.16,1763167677.9057002
envA,cuda,resnet50,64,4,620.72,103.11,1763167678.5268116
envA,cuda,resnet50,64,5,627.40,102.01,1763167679.154599
envA,cuda,resnet50,64,6,624.78,102.44,1763167679.7797716
envA,cuda,resnet50,64,7,625.89,102.25,1763167680.4060462
envA,cuda,resnet50,64,8,622.29,102.85,1763167681.0287037
envA,cuda,resnet50,64,9,626.65,102.13,1763167681.6557114
envA,cuda,resnet50,64,10,626.59,102.14,1763167682.28268
envA,cuda,resnet50,64,11,217.25,294.59,1763167682.9213855
envA,cuda,resnet50,64,12,628.47,101.83,1763167683.5502253
envA,cuda,resnet50,64,13,629.68,101.64,1763167684.1807683
envA,cuda,resnet50,64,14,629.70,101.64,1763167684.8108556
envA,cuda,resnet50,64,15,627.95,101.92,1763167685.439222
envA,cuda,resnet50,64,16,635.82,100.66,1763167686.0754132
envA,cuda,resnet50,64,17,643.29,99.49,1763167686.719136
envA,cuda,resnet50,64,18,631.90,101.28,1763167687.3514454
envA,cuda,resnet50,64,19,644.61,99.29,1763167687.9964755
envA,cuda,resnet50,64,20,644.99,99.23,1763167688.6417532
envA,cuda,resnet50,64,21,234.05,273.45,1763167689.302016
envA,cuda,resnet50,64,22,639.46,100.08,1763167689.941804
envA,cuda,resnet50,64,23,640.63,99.90,1763167690.5829127
envA,cuda,resnet50,64,24,655.81,97.59,1763167691.2390893
envA,cuda,resnet50,64,25,647.50,98.84,1763167691.8869627
envA,cuda,resnet50,64,26,646.65,98.97,1763167692.5339825
envA,cuda,resnet50,64,27,657.48,97.34,1763167693.1918643
envA,cuda,resnet50,64,28,656.24,97.53,1763167693.8484788
envA,cuda,resnet50,64,29,664.51,96.31,1763167694.5133965
envA,cuda,resnet50,64,30,649.50,98.54,1763167695.1641936
envA,cuda,resnet50,64,31,232.87,274.84,1763167695.8412504
envA,cuda,resnet50,64,32,656.03,97.56,1763167696.4996786
envA,cuda,resnet50,64,33,666.04,96.09,1763167697.1661024
envA,cuda,resnet50,64,34,666.29,96.05,1763167697.8328106
envA,cuda,resnet50,64,35,667.70,95.85,1763167698.5009098
envA,cuda,resnet50,64,36,666.31,96.05,1763167699.1676078
envA,cuda,resnet50,64,37,668.08,95.80,1763167699.836076
envA,cuda,resnet50,64,38,671.14,95.36,1763167700.5075934
envA,cuda,resnet50,64,39,663.23,96.50,1763167701.171097
envA,cuda,resnet50,64,40,672.71,95.14,1763167701.8440793
envA,cuda,resnet50,64,41,238.98,267.80,1763167702.5202749
envA,cuda,resnet50,64,42,650.05,98.45,1763167703.1719747
envA,cuda,resnet50,64,43,666.22,96.06,1763167703.8385723
envA,cuda,resnet50,64,44,666.44,96.03,1763167704.5053973
envA,cuda,resnet50,64,45,678.01,94.39,1763167705.1838279
envA,cuda,resnet50,64,46,654.61,97.77,1763167705.8388224
envA,cuda,resnet50,64,47,673.82,94.98,1763167706.5130413
envA,cuda,resnet50,64,48,662.21,96.65,1763167707.1755574
envA,cuda,resnet50,64,49,656.75,97.45,1763167707.8326948
envA,cuda,resnet50,64,50,656.26,97.52,1763167708.4893866
envA,cuda,resnet50,64,51,232.32,275.48,1763167709.1643124
envA,cuda,resnet50,64,52,651.32,98.26,1763167709.8159163
envA,cuda,resnet50,64,53,654.53,97.78,1763167710.4708183
envA,cuda,resnet50,64,54,666.26,96.06,1763167711.1374786
envA,cuda,resnet50,64,55,659.30,97.07,1763167711.7971911
envA,cuda,resnet50,64,56,654.61,97.77,1763167712.4522104
envA,cuda,resnet50,64,57,671.68,95.28,1763167713.1242893
envA,cuda,resnet50,64,58,670.10,95.51,1763167713.7947893
envA,cuda,resnet50,64,59,635.64,100.69,1763167714.4322903
envA,cuda,resnet50,64,60,655.13,97.69,1763167715.087776
envA,cuda,resnet50,64,61,223.77,286.01,1763167715.7357352
envA,cuda,resnet50,64,62,655.71,97.60,1763167716.3917367
envA,cuda,resnet50,64,63,653.27,97.97,1763167717.045395
envA,cuda,resnet50,64,64,661.32,96.78,1763167717.7071054
envA,cuda,resnet50,64,65,652.87,98.03,1763167718.360336
envA,cuda,resnet50,64,66,647.42,98.85,1763167719.00813
envA,cuda,resnet50,64,67,642.82,99.56,1763167719.6513517
envA,cuda,resnet50,64,68,647.83,98.79,1763167720.2995782
envA,cuda,resnet50,64,69,647.38,98.86,1763167720.9473462
envA,cuda,resnet50,64,70,659.23,97.08,1763167721.6069725
envA,cuda,resnet50,64,71,222.95,287.06,1763167722.260747
envA,cuda,resnet50,64,72,638.67,100.21,1763167722.9003284
envA,cuda,resnet50,64,73,646.55,98.99,1763167723.5472648
envA,cuda,resnet50,64,74,648.31,98.72,1763167724.196016
envA,cuda,resnet50,64,75,646.14,99.05,1763167724.842576
envA,cuda,resnet50,64,76,654.66,97.76,1763167725.4976435
envA,cuda,resnet50,64,77,643.59,99.44,1763167726.1416113
envA,cuda,resnet50,64,78,663.15,96.51,1763167726.8050506
envA,cuda,resnet50,64,79,638.37,100.26,1763167727.443714
envA,cuda,resnet50,64,80,639.15,100.13,1763167728.0858166
envA,cuda,resnet50,64,81,226.62,282.41,1763167728.742073
envA,cuda,resnet50,64,82,633.39,101.04,1763167729.3780599
envA,cuda,resnet50,64,83,647.69,98.81,1763167730.026107
envA,cuda,resnet50,64,84,644.03,99.37,1763167730.6705244
envA,cuda,resnet50,64,85,631.51,101.34,1763167731.3023531
envA,cuda,resnet50,64,86,644.41,99.32,1763167731.9471285
envA,cuda,resnet50,64,87,639.57,100.07,1763167732.5870552
envA,cuda,resnet50,64,88,638.35,100.26,1763167733.2257888
envA,cuda,resnet50,64,89,635.94,100.64,1763167733.8620946
envA,cuda,resnet50,64,90,640.71,99.89,1763167734.5031693
envA,cuda,resnet50,64,91,219.39,291.72,1763167735.139985
envA,cuda,resnet50,64,92,634.17,100.92,1763167735.7768135
envA,cuda,resnet50,64,93,637.06,100.46,1763167736.4142406
envA,cuda,resnet50,64,94,638.49,100.24,1763167737.0538852
envA,cuda,resnet50,64,95,633.71,100.99,1763167737.687998
envA,cuda,resnet50,64,96,649.52,98.53,1763167738.3379047
envA,cuda,resnet50,64,97,630.86,101.45,1763167738.9691482
envA,cuda,resnet50,64,98,643.28,99.49,1763167739.6126778
envA,cuda,resnet50,64,99,623.96,102.57,1763167740.23697
