env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet18,128,0,337.03,379.79,1763167560.9978151
envA,cuda,resnet18,128,1,156.15,819.70,1763167561.361967
envA,cuda,resnet18,128,2,211.70,604.62,1763167561.7146616
envA,cuda,resnet18,128,3,158.04,809.90,1763167562.3540237
envA,cuda,resnet18,128,4,143.93,889.31,1763167562.8870523
envA,cuda,resnet18,128,5,303.54,421.69,1763167563.2294154
envA,cuda,resnet18,128,6,129.33,989.72,1763167563.6061668
envA,cuda,resnet18,128,7,132.94,962.84,1763167564.0278995
envA,cuda,resnet18,128,8,128.27,997.91,1763167564.4076455
envA,cuda,resnet18,128,9,350.25,365.45,1763167564.7600672
envA,cuda,resnet18,128,10,140.60,910.35,1763167565.1246688
envA,cuda,resnet18,128,11,132.21,968.15,1763167565.5669913
envA,cuda,resnet18,128,12,134.76,949.83,1763167566.0257695
envA,cuda,resnet18,128,13,342.25,373.99,1763167566.3699226
envA,cuda,resnet18,128,14,208.43,614.11,1763167566.7081664
envA,cuda,resnet18,128,15,259.56,493.15,1763167567.0667279
envA,cuda,resnet18,128,16,126.22,1014.08,1763167567.589553
envA,cuda,resnet18,128,17,362.16,353.44,1763167567.9539359
envA,cuda,resnet18,128,18,296.22,432.11,1763167568.2939312
envA,cuda,resnet18,128,19,185.18,691.21,1763167568.653241
envA,cuda,resnet18,128,20,128.78,993.93,1763167569.2108207
envA,cuda,resnet18,128,21,139.76,915.84,1763167569.5660644
envA,cuda,resnet18,128,22,343.77,372.34,1763167569.9116764
envA,cuda,resnet18,128,23,213.59,599.27,1763167570.2707548
envA,cuda,resnet18,128,24,126.49,1011.97,1763167570.8288758
envA,cuda,resnet18,128,25,359.83,355.73,1763167571.1906974
envA,cuda,resnet18,128,26,351.61,364.04,1763167571.5428698
envA,cuda,resnet18,128,27,327.29,391.09,1763167571.8980014
envA,cuda,resnet18,128,28,137.22,932.84,1763167572.3329759
envA,cuda,resnet18,128,29,340.20,376.25,1763167572.6759334
envA,cuda,resnet18,128,30,377.99,338.64,1763167573.0598016
envA,cuda,resnet18,128,31,153.12,835.93,1763167573.5221925
envA,cuda,resnet18,128,32,143.94,889.27,1763167574.4861448
envA,cuda,resnet18,128,33,338.73,377.88,1763167574.8337107
envA,cuda,resnet18,128,34,157.72,811.59,1763167575.2769017
envA,cuda,resnet18,128,35,142.66,897.22,1763167575.8787584
envA,cuda,resnet18,128,36,132.01,969.59,1763167576.458056
envA,cuda,resnet18,128,37,351.05,364.62,1763167576.8138957
envA,cuda,resnet18,128,38,128.32,997.51,1763167577.1894128
envA,cuda,resnet18,128,39,360.92,354.65,1763167577.5528193
envA,cuda,resnet18,128,40,138.80,922.21,1763167577.982934
envA,cuda,resnet18,128,41,154.47,828.63,1763167578.3488488
envA,cuda,resnet18,128,42,137.27,932.49,1763167578.7363584
envA,cuda,resnet18,128,43,346.00,369.95,1763167579.0837998
envA,cuda,resnet18,128,44,235.08,544.50,1763167579.4222324
envA,cuda,resnet18,128,45,379.79,337.03,1763167579.804597
envA,cuda,resnet18,128,46,130.90,977.81,1763167580.3899615
envA,cuda,resnet18,128,47,343.79,372.32,1763167580.7457037
envA,cuda,resnet18,128,48,335.10,381.98,1763167581.0827382
envA,cuda,resnet18,128,49,370.30,345.67,1763167581.4549913
envA,cuda,resnet18,128,50,139.83,915.39,1763167581.8117952
envA,cuda,resnet18,128,51,132.45,966.40,1763167582.186768
envA,cuda,resnet18,128,52,268.18,477.30,1763167582.5512474
envA,cuda,resnet18,128,53,331.65,385.95,1763167582.8843184
envA,cuda,resnet18,128,54,139.89,914.98,1763167583.3768356
envA,cuda,resnet18,128,55,126.11,1014.98,1763167583.9610128
envA,cuda,resnet18,128,56,364.22,351.43,1763167584.32545
envA,cuda,resnet18,128,57,363.19,352.43,1763167584.6910017
envA,cuda,resnet18,128,58,267.24,478.98,1763167585.045605
envA,cuda,resnet18,128,59,350.77,364.91,1763167585.3966892
envA,cuda,resnet18,128,60,350.49,365.21,1763167585.7473862
envA,cuda,resnet18,128,61,118.30,1081.96,1763167586.1006334
envA,cuda,resnet18,128,62,357.10,358.44,1763167586.457958
envA,cuda,resnet18,128,63,370.42,345.56,1763167586.8286192
