env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet50,32,0,337.96,94.69,1763167612.2780876
envA,cuda,resnet50,32,1,162.80,196.56,1763167612.63977
envA,cuda,resnet50,32,2,278.97,114.71,1763167612.919033
envA,cuda,resnet50,32,3,343.76,93.09,1763167613.2631822
envA,cuda,resnet50,32,4,316.07,101.24,1763167613.5796962
envA,cuda,resnet50,32,5,323.75,98.84,1763167613.9047709
envA,cuda,resnet50,32,6,321.41,99.56,1763167614.2265306
envA,cuda,resnet50,32,7,326.98,97.86,1763167614.5539243
envA,cuda,resnet50,32,8,320.72,99.78,1763167614.8750477
envA,cuda,resnet50,32,9,335.28,95.44,1763167615.210683
envA,cuda,resnet50,32,10,325.61,98.28,1763167615.536679
envA,cuda,resnet50,32,11,119.12,268.65,1763167615.8712678
envA,cuda,resnet50,32,12,320.09,99.97,1763167616.1926754
envA,cuda,resnet50,32,13,331.37,96.57,1763167616.524395
envA,cuda,resnet50,32,14,330.46,96.84,1763167616.8553252
envA,cuda,resnet50,32,15,328.99,97.27,1763167617.18473
envA,cuda,resnet50,32,16,331.76,96.45,1763167617.5168965
envA,cuda,resnet50,32,17,337.08,94.93,1763167617.8547804
envA,cuda,resnet50,32,18,330.79,96.74,1763167618.1859522
envA,cuda,resnet50,32,19,334.66,95.62,1763167618.5210009
envA,cuda,resnet50,32,20,332.08,96.36,1763167618.8534436
envA,cuda,resnet50,32,21,121.14,264.16,1763167619.1937842
envA,cuda,resnet50,32,22,323.78,98.83,1763167619.5178618
envA,cuda,resnet50,32,23,334.29,95.73,1763167619.852514
envA,cuda,resnet50,32,24,343.56,93.14,1763167620.1965036
envA,cuda,resnet50,32,25,328.30,97.47,1763167620.5250936
envA,cuda,resnet50,32,26,335.28,95.44,1763167620.860749
envA,cuda,resnet50,32,27,336.58,95.07,1763167621.197707
envA,cuda,resnet50,32,28,339.21,94.34,1763167621.5373013
envA,cuda,resnet50,32,29,333.16,96.05,1763167621.8718321
envA,cuda,resnet50,32,30,337.92,94.70,1763167622.210155
envA,cuda,resnet50,32,31,122.42,261.40,1763167622.5552232
envA,cuda,resnet50,32,32,335.36,95.42,1763167622.8908548
envA,cuda,resnet50,32,33,332.68,96.19,1763167623.2253182
envA,cuda,resnet50,32,34,335.57,95.36,1763167623.5613048
envA,cuda,resnet50,32,35,340.14,94.08,1763167623.9018388
envA,cuda,resnet50,32,36,344.53,92.88,1763167624.2467422
envA,cuda,resnet50,32,37,343.82,93.07,1763167624.5908954
envA,cuda,resnet50,32,38,343.43,93.18,1763167624.935321
envA,cuda,resnet50,32,39,347.07,92.20,1763167625.2826989
envA,cuda,resnet50,32,40,360.45,88.78,1763167625.6434329
envA,cuda,resnet50,32,41,146.87,217.88,1763167625.9915655
envA,cuda,resnet50,32,42,318.75,100.39,1763167626.3106294
envA,cuda,resnet50,32,43,358.50,89.26,1763167626.6711512
envA,cuda,resnet50,32,44,329.83,97.02,1763167627.0012465
envA,cuda,resnet50,32,45,335.03,95.51,1763167627.3374085
envA,cuda,resnet50,32,46,344.74,92.82,1763167627.6843958
envA,cuda,resnet50,32,47,341.37,93.74,1763167628.0261502
envA,cuda,resnet50,32,48,344.53,92.88,1763167628.3710809
envA,cuda,resnet50,32,49,348.53,91.82,1763167628.7199597
envA,cuda,resnet50,32,50,337.44,94.83,1763167629.0577488
envA,cuda,resnet50,32,51,127.85,250.29,1763167629.4115036
envA,cuda,resnet50,32,52,336.45,95.11,1763167629.748222
envA,cuda,resnet50,32,53,340.14,94.08,1763167630.0887508
envA,cuda,resnet50,32,54,346.54,92.34,1763167630.4356623
envA,cuda,resnet50,32,55,342.29,93.49,1763167630.7783237
envA,cuda,resnet50,32,56,341.68,93.65,1763167631.1203656
envA,cuda,resnet50,32,57,346.52,92.35,1763167631.4672897
envA,cuda,resnet50,32,58,340.66,93.93,1763167631.808327
envA,cuda,resnet50,32,59,340.49,93.98,1763167632.1491833
envA,cuda,resnet50,32,60,346.31,92.40,1763167632.4958754
envA,cuda,resnet50,32,61,123.58,258.95,1763167632.8472645
envA,cuda,resnet50,32,62,333.55,95.94,1763167633.181215
envA,cuda,resnet50,32,63,343.84,93.07,1763167633.5254025
envA,cuda,resnet50,32,64,342.11,93.54,1763167633.8679013
envA,cuda,resnet50,32,65,340.58,93.96,1763167634.2088363
envA,cuda,resnet50,32,66,343.44,93.17,1763167634.5526674
envA,cuda,resnet50,32,67,338.25,94.60,1763167634.8919327
envA,cuda,resnet50,32,68,334.61,95.63,1763167635.2274895
envA,cuda,resnet50,32,69,339.30,94.31,1763167635.5672162
envA,cuda,resnet50,32,70,339.60,94.23,1763167635.9072104
envA,cuda,resnet50,32,71,122.61,260.99,1763167636.2490268
envA,cuda,resnet50,32,72,330.68,96.77,1763167636.579986
envA,cuda,resnet50,32,73,339.12,94.36,1763167636.9195096
envA,cuda,resnet50,32,74,340.07,94.10,1763167637.2599976
envA,cuda,resnet50,32,75,338.94,94.41,1763167637.599235
envA,cuda,resnet50,32,76,333.70,95.89,1763167637.9332354
envA,cuda,resnet50,32,77,342.02,93.56,1763167638.2755725
envA,cuda,resnet50,32,78,325.57,98.29,1763167638.6014247
envA,cuda,resnet50,32,79,334.08,95.78,1763167638.9377162
envA,cuda,resnet50,32,80,343.25,93.23,1763167639.2812603
envA,cuda,resnet50,32,81,132.06,242.31,1763167639.6191435
envA,cuda,resnet50,32,82,312.88,102.27,1763167639.932362
envA,cuda,resnet50,32,83,331.61,96.50,1763167640.2643418
envA,cuda,resnet50,32,84,327.01,97.86,1763167640.591733
envA,cuda,resnet50,32,85,331.76,96.46,1763167640.9238775
envA,cuda,resnet50,32,86,331.37,96.57,1763167641.2556124
envA,cuda,resnet50,32,87,330.09,96.94,1763167641.5860987
envA,cuda,resnet50,32,88,331.92,96.41,1763167641.9184067
envA,cuda,resnet50,32,89,325.46,98.32,1763167642.2443268
envA,cuda,resnet50,32,90,326.67,97.96,1763167642.571395
envA,cuda,resnet50,32,91,121.53,263.32,1763167642.91337
envA,cuda,resnet50,32,92,322.84,99.12,1763167643.2365732
envA,cuda,resnet50,32,93,325.12,98.43,1763167643.562047
envA,cuda,resnet50,32,94,333.94,95.82,1763167643.8963385
envA,cuda,resnet50,32,95,325.78,98.23,1763167644.2225096
envA,cuda,resnet50,32,96,327.64,97.67,1763167644.550536
envA,cuda,resnet50,32,97,326.09,98.13,1763167644.8769813
envA,cuda,resnet50,32,98,325.66,98.26,1763167645.2029815
envA,cuda,resnet50,32,99,327.89,97.59,1763167645.5312095
